	passenger_count	trip_distance	tip_amount	total_amount	tip_percentage
314	1	0.8	1.25	7.55	0.16556291390728478
315	1	0.3	0.0	4.3	0.0
316	1	0.32	0.0	5.8	0.0
317	1	2.3	3.16	18.96	0.16666666666666666
318	1	1.0	0.0	6.8	0.0
319	1	1.4	2.07	10.37	0.19961427193828352
320	1	0.85	0.0	9.8	0.0
321	1	1.09	0.0	13.8	0.0
322	1	0.71	1.58	7.88	0.200507614213198
323	1	1.8	2.16	12.96	0.16666666666666666
324	5	0.72	0.0	9.3	0.0
325	1	9.44	6.0	54.84	0.10940919037199125
326	1	1.01	1.0	9.3	0.1075268817204301
327	1	1.6	2.45	14.75	0.16610169491525426
328	1	2.2	1.0	11.3	0.08849557522123894
329	1	10.5	0.0	47.34	0.0
330	1	0.5	0.95	5.75	0.16521739130434782
331	1	0.6	1.5	7.3	0.20547945205479454
332	2	1.45	0.0	11.8	0.0
333	1	1.2	0.0	14.3	0.0
334	1	0.09	0.0	4.3	0.0
335	1	8.1	6.05	36.35	0.16643741403026133
336	1	7.5	0.0	24.8	0.0
337	3	2.7	4.05	24.35	0.16632443531827515
338	1	3.58	5.06	30.36	0.16666666666666666
339	2	1.7	2.45	14.75	0.16610169491525426
340	1	5.5	5.57	27.87	0.19985647649802654
341	1	1.8	0.0	9.8	0.0
342	1	3.5	0.0	20.8	0.0
343	1	1.76	2.95	14.75	0.2
344	1	2.0	1.11	10.91	0.10174152153987169
345	1	0.54	1.16	6.96	0.16666666666666666
346	1	14.27	0.0	52.8	0.0
347	1	0.96	2.56	15.36	0.16666666666666669
348	1	1.6	1.5	11.8	0.1271186440677966
349	1	2.2	2.35	14.15	0.16607773851590107
350	1	3.28	4.76	28.56	0.16666666666666666
351	1	3.0	2.45	14.75	0.16610169491525426
352	2	1.2	2.35	14.15	0.16607773851590107
353	1	9.55	8.2	41.0	0.19999999999999998
354	1	1.07	0.0	7.3	0.0
355	1	2.1	0.0	11.3	0.0
356	1	6.6	5.45	32.75	0.16641221374045803
357	2	3.53	0.0	24.8	0.0
358	1	2.0	0.0	12.8	0.0
359	6	0.76	0.0	5.3	0.0
360	1	0.6	1.45	7.25	0.19999999999999998
361	2	0.93	1.36	8.16	0.16666666666666669
362	1	0.6	0.0	6.8	0.0
