	passenger_count	trip_distance	total_amount
1007	1	1.59	17.16
1008	1	0.6	6.8
1009	1	4.2	24.95
1010	1	5.4	27.8
1011	1	0.31	5.59
1012	1	2.48	19.56
1013	1	0.58	4.8
1014	4	0.0	3.3
1015	2	3.7	19.8
1016	5	0.74	8.8
1017	1	2.8	27.35
1018	1	6.3	29.75
1019	1	2.56	22.25
1020	1	2.31	14.3
1021	1	0.81	6.3
1022	2	1.5	11.15
1023	1	1.6	9.8
1024	1	1.4	9.35
1025	2	0.9	10.0
1026	1	6.2	28.3
1027	1	0.7	6.35
1028	1	2.86	16.3
1029	1	0.8	10.3
1030	5	1.75	10.8
1031	1	0.89	9.51
1032	6	4.11	18.96
1033	1	3.71	14.8
1034	1	2.14	20.54
1035	2	1.06	8.19
1036	1	2.0	17.15
1037	1	0.7	6.3
1038	2	1.26	12.88
1039	1	8.14	37.61
1040	1	0.97	6.3
1041	1	4.3	26.75
1042	5	0.41	4.3
1043	1	2.76	17.8
1044	1	1.73	15.96
1045	1	1.1	9.96
1046	1	3.89	21.3
1047	2	9.72	42.84
1048	1	1.1	8.8
1049	1	1.5	12.3
1050	1	1.5	11.8
1051	1	6.1	39.96
1052	1	0.23	4.8
1053	1	8.07	28.3
1054	1	7.9	44.8
1055	1	2.1	14.15
1056	1	1.86	15.96
1057	1	1.2	14.15
1058	1	2.33	16.3
1059	1	1.5	7.8
1060	1	0.6	6.35
1061	1	3.2	18.3
1062	1	2.0	12.8
1063	1	1.12	11.8
1064	1	0.4	4.8
1065	1	0.5	8.3
1066	1	3.65	13.3
1067	1	0.7	7.8
1068	1	1.0	8.8
1069	1	2.05	13.8
1070	2	2.39	22.3
1071	2	1.2	11.16
1072	1	3.2	23.3
1073	1	0.72	5.8
1074	1	11.1	56.19
1075	1	1.32	12.36
1076	1	0.9	8.3
1077	1	0.9	10.8
1078	1	0.3	5.75
1079	1	12.3	63.39
1080	1	0.9	9.95
1081	1	2.6	17.75
1082	1	1.5	12.95
1083	3	10.1	53.19
1084	1	5.68	21.8
1085	2	1.0	13.55
1086	1	1.62	12.36
1087	1	2.31	18.36
1088	1	1.8	11.3
1089	1	1.1	17.15
1090	1	2.65	13.8
1091	2	1.57	10.8
1092	1	1.6	12.3
1093	1	2.2	19.56
1094	3	0.42	7.25
1095	5	2.53	19.12
1096	1	0.6	7.8
1097	1	0.9	8.16
1098	1	0.9	9.8
1099	1	2.01	16.8
1100	5	1.74	16.0
1101	1	1.0	9.35
1102	1	0.62	5.3
1103	1	3.71	22.8
1104	2	1.02	11.62
1105	5	0.77	5.8
1106	3	0.45	5.8
1107	3	14.23	61.01
1108	6	0.39	4.3
1109	1	0.4	6.3
1110	1	4.66	34.56
1111	1	0.6	7.8
1112	1	2.41	15.36
1113	1	2.37	19.3
1114	1	3.21	24.3
1115	1	0.7	7.8
1116	1	2.9	17.8
1117	2	1.7	10.8
1118	1	1.64	17.3
1119	1	18.84	63.36
1120	3	0.68	5.8
1121	1	0.3	5.15
1122	1	1.1	8.8
1123	3	0.8	5.8
1124	1	3.12	19.8
1125	1	1.8	14.3
1126	5	0.66	7.56
1127	1	1.04	9.36
1128	1	0.8	9.95
1129	1	12.0	54.95
1130	2	1.4	13.8
1131	1	1.1	9.8
1132	1	0.67	5.8
1133	1	0.72	8.5
1134	1	1.09	12.36
1135	1	1.28	17.76
1136	1	2.2	12.36
1137	1	1.81	12.3
1138	1	2.7	17.3
1139	1	0.67	8.16
1140	1	17.3	67.8
1141	1	1.4	14.15
1142	1	1.6	14.16
1143	2	0.46	5.3
1144	5	7.38	33.36
1145	1	0.8	5.8
